-40 -0.000219857
-39 -0.000184983
-38 0.000106688
-37 0.000622009
-36 0.00103294
-35 0.00076965
-34 -0.000592604
-33 -0.00271582
-32 -0.00412045
-31 -0.00269184
-30 0.00267472
-29 0.0100601
-28 0.0139541
-27 0.00788794
-26 -0.0099588
-25 -0.0316231
-24 -0.040112
-23 -0.0192719
-22 0.0308565
-21 0.0843728
-20 0.0978547
-19 0.0389635
-18 -0.0800002
-17 -0.191102
-16 -0.202544
-15 -0.0643684
-14 0.1742
-13 0.367496
-12 0.355599
-11 0.084854
-10 -0.319408
-9 -0.600076
-8 -0.529358
-7 -0.0846321
-6 0.494095
-5 0.832067
-4 0.667876
-3 0.0538861
-2 -0.645741
-1 -0.979781
0 -0.713778
1 0
2 0.713778
3 0.979781
4 0.645741
5 -0.0538861
6 -0.667876
7 -0.832067
8 -0.494095
9 0.0846321
10 0.529358
11 0.600076
12 0.319408
13 -0.084854
14 -0.355599
15 -0.367496
16 -0.1742
17 0.0643684
18 0.202544
19 0.191102
20 0.0800002
21 -0.0389635
22 -0.0978547
23 -0.0843728
24 -0.0308565
25 0.0192719
26 0.040112
27 0.0316231
28 0.0099588
29 -0.00788794
30 -0.0139541
31 -0.0100601
32 -0.00267472
33 0.00269184
34 0.00412045
35 0.00271582
36 0.000592604
37 -0.00076965
38 -0.00103294
39 -0.000622009
